Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Measure ID,Question,Answer Description,Patient Survey Star Rating,Patient Survey Star Rating Footnote,Answer Percent,Answer Percent Footnote,Linear Mean Value,Number of Completed Surveys,Number of Completed Surveys Footnote,Survey Response Rate Percent,Survey Response Rate Percent Footnote,Measure Start Date,Measure End Date,Location
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_2_U_P,"Patients who reported that their doctors ""Usually"" communicated well","Doctors ""usually"" communicated well",Not Applicable,NULL,15,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_3_A_P,"Patients who reported that they ""Always"" received help as soon as they wanted","Patients ""always"" received help as soon as they wanted",Not Applicable,NULL,47,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_3_LINEAR_SCORE,Staff responsiveness - linear mean score,Staff responsiveness - linear mean score,Not Applicable,NULL,Not Applicable,NULL,75,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_3_SN_P,"Patients who reported that they ""Sometimes"" or ""Never"" received help as soon as they wanted","Patients ""sometimes"" or ""never"" received help as soon as they wanted",Not Applicable,NULL,19,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_3_STAR_RATING,Staff responsiveness - star rating,Staff responsiveness - star rating,1,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_3_U_P,"Patients who reported that they ""Usually"" received help as soon as they wanted","Patients ""usually"" received help as soon as they wanted",Not Applicable,NULL,34,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_5_A_P,"Patients who reported that staff ""Always"" explained about medicines before giving it to them","Staff ""always"" explained",Not Applicable,NULL,53,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_5_LINEAR_SCORE,Communication about medicines - linear mean score,Communication about medicines - linear mean score,Not Applicable,NULL,Not Applicable,NULL,70,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_5_SN_P,"Patients who reported that staff ""Sometimes"" or ""Never"" explained about medicines before giving it to them","Staff ""sometimes"" or ""never"" explained",Not Applicable,NULL,27,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_5_STAR_RATING,Communication about medicines - star rating,Communication about medicines - star rating,1,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_5_U_P,"Patients who reported that staff ""Usually"" explained about medicines before giving it to them","Staff ""usually"" explained",Not Applicable,NULL,20,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_6_LINEAR_SCORE,Discharge information - linear mean score,Discharge information - linear mean score,Not Applicable,NULL,Not Applicable,NULL,85,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_6_N_P,"Patients who reported that NO, they were not given information about what to do during their recovery at home","No, staff ""did not"" give patients this information",Not Applicable,NULL,15,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_6_STAR_RATING,Discharge information - star rating,Discharge information - star rating,3,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_6_Y_P,"Patients who reported that YES, they were given information about what to do during their recovery at home","Yes, staff ""did"" give patients this information",Not Applicable,NULL,85,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_7_A,"Patients who ""Agree"" they understood their care when they left the hospital","Patients who ""Agree"" they understood their care when they left the hospital",Not Applicable,NULL,47,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_7_D_SD,"Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital","Patients who ""Disagree"" or ""Strongly Disagree"" they understood their care when they left the hospital",Not Applicable,NULL,7,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_7_LINEAR_SCORE,Care transition - linear mean score,Care transition - linear mean score,Not Applicable,NULL,Not Applicable,NULL,79,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_7_SA,"Patients who ""Strongly Agree"" they understood their care when they left the hospital","Patients who ""Strongly Agree"" they understood their care when they left the hospital",Not Applicable,NULL,46,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_COMP_7_STAR_RATING,Care transition - star rating,Care transition - star rating,2,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_HSP_RATING_0_6,Patients who gave their hospital a rating of 6 or lower on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""6"" or lower (low)",Not Applicable,NULL,13,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_HSP_RATING_7_8,Patients who gave their hospital a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""7"" or ""8"" (medium)",Not Applicable,NULL,27,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_HSP_RATING_9_10,Patients who gave their hospital a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Patients who gave a rating of ""9"" or ""10"" (high)",Not Applicable,NULL,60,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_HSP_RATING_LINEAR_SCORE,Overall hospital rating - linear mean score,Overall hospital rating - linear mean score,Not Applicable,NULL,Not Applicable,NULL,83,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_HSP_RATING_STAR_RATING,Overall hospital rating - star rating,Overall hospital rating - star rating,2,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_QUIET_HSP_A_P,"Patients who reported that the area around their room was ""Always"" quiet at night","""Always"" quiet at night",Not Applicable,NULL,67,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_QUIET_HSP_SN_P,"Patients who reported that the area around their room was ""Sometimes"" or ""Never"" quiet at night","""Sometimes"" or ""never"" quiet at night",Not Applicable,NULL,7,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_QUIET_HSP_U_P,"Patients who reported that the area around their room was ""Usually"" quiet at night","""Usually"" quiet at night",Not Applicable,NULL,26,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_QUIET_LINEAR_SCORE,Quietness - linear mean score,Quietness - linear mean score,Not Applicable,NULL,Not Applicable,NULL,86,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_QUIET_STAR_RATING,Quietness - star rating,Quietness - star rating,4,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_RECMND_DN,"Patients who reported NO, they would probably not or definitely not recommend the hospital","""NO"", patients would not recommend the hospital (they probably would not or definitely would not recommend it)",Not Applicable,NULL,7,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_RECMND_DY,"Patients who reported YES, they would definitely recommend the hospital","""YES"", patients would definitely recommend the hospital",Not Applicable,NULL,62,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_RECMND_LINEAR_SCORE,Recommend hospital - linear mean score,Recommend hospital - linear mean score,Not Applicable,NULL,Not Applicable,NULL,84,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_RECMND_PY,"Patients who reported YES, they would probably recommend the hospital","""YES"", patients would probably recommend the hospital",Not Applicable,NULL,31,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_RECMND_STAR_RATING,Recommend hospital - star rating,Recommend hospital - star rating,2,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,36301,HOUSTON,3347938701,H_STAR_RATING,Summary star rating,Summary star rating,2,NULL,Not Applicable,NULL,Not Applicable,506,NULL,21,NULL,07/01/17,06/30/2018,"1108 ROSS CLARK CIRCLE DOTHAN, AL 36301 (31.214058, -85.361725)"
